mutation,org.apache.commons.lang3.mutable.MutableFloatTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableFloatTest]/[method:testAddValuePrimitive()],org.apache.commons.lang3.mutable.MutableFloatTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableFloatTest]/[method:testAddValueObject()],org.apache.commons.lang3.mutable.MutableFloatTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableFloatTest]/[method:testAddAndGetValuePrimitive()],org.apache.commons.lang3.mutable.MutableFloatTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableFloatTest]/[method:testAddAndGetValueObject()],org.apache.commons.lang3.mutable.MutableFloatTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableFloatTest]/[method:testCompareTo()],org.apache.commons.lang3.mutable.MutableFloatTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableFloatTest]/[method:testDecrement()],org.apache.commons.lang3.mutable.MutableFloatTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableFloatTest]/[method:testDecrementAndGet()],org.apache.commons.lang3.mutable.MutableFloatTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableFloatTest]/[method:testPrimitiveValues()],org.apache.commons.lang3.mutable.MutableFloatTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableFloatTest]/[method:testEquals()],org.apache.commons.lang3.mutable.MutableFloatTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableFloatTest]/[method:testGetAndAddValuePrimitive()],org.apache.commons.lang3.mutable.MutableFloatTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableFloatTest]/[method:testGetAndAddValueObject()],org.apache.commons.lang3.mutable.MutableFloatTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableFloatTest]/[method:testGetAndDecrement()],org.apache.commons.lang3.mutable.MutableFloatTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableFloatTest]/[method:testGetAndIncrement()],org.apache.commons.lang3.mutable.MutableFloatTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableFloatTest]/[method:testGetSet()],org.apache.commons.lang3.mutable.MutableFloatTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableFloatTest]/[method:testHashCode()],org.apache.commons.lang3.mutable.MutableFloatTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableFloatTest]/[method:testIncrement()],org.apache.commons.lang3.mutable.MutableFloatTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableFloatTest]/[method:testIncrementAndGet()],org.apache.commons.lang3.mutable.MutableFloatTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableFloatTest]/[method:testNanInfinite()],org.apache.commons.lang3.mutable.MutableFloatTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableFloatTest]/[method:testSubtractValuePrimitive()],org.apache.commons.lang3.mutable.MutableFloatTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableFloatTest]/[method:testSubtractValueObject()],org.apache.commons.lang3.mutable.MutableFloatTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableFloatTest]/[method:testToFloat()],org.apache.commons.lang3.mutable.MutableFloatTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.mutable.MutableFloatTest]/[method:testToString()]
83|Replaced float addition with subtraction,KILLED,,,,,,,,,,,,,,,,,,,,,
94|Replaced float addition with subtraction,,KILLED,,,,,,,,,,,,,,,,,,,,
106|Replaced float addition with subtraction,,,KILLED,,,,,,,,,,,,,,,,,,,
107|replaced float return with 0.0f for org/apache/commons/lang3/mutable/MutableFloat::addAndGet,,,KILLED,,,,,,,,,,,,,,,,,,,
120|Replaced float addition with subtraction,,,,KILLED,,,,,,,,,,,,,,,,,,
121|replaced float return with 0.0f for org/apache/commons/lang3/mutable/MutableFloat::addAndGet,,,,KILLED,,,,,,,,,,,,,,,,,,
132|replaced int return with 0 for org/apache/commons/lang3/mutable/MutableFloat::compareTo,,,,,KILLED,,,,,,,,,,,,,,,,,
141|Replaced float subtraction with addition,,,,,,KILLED,,,,,,,,,,,,,,,,
152|Replaced float subtraction with addition,,,,,,,KILLED,,,,,,,,,,,,,,,
153|replaced float return with 0.0f for org/apache/commons/lang3/mutable/MutableFloat::decrementAndGet,,,,,,,,,,,,,,,,,,,,,,
163|replaced double return with 0.0d for org/apache/commons/lang3/mutable/MutableFloat::doubleValue,,,,,,,,KILLED,,,,,,,,,,,,,,
199|negated conditional,,,,,,,,,KILLED,,,,,,,,,,,,,
200|negated conditional,,,,,,,,,KILLED,,,,,,,,,,,,,
210|replaced float return with 0.0f for org/apache/commons/lang3/mutable/MutableFloat::floatValue,,,,,,,,,,KILLED,,,,,,,,,,,,
223|Replaced float addition with subtraction,,,,,,,,,,KILLED,,,,,,,,,,,,
224|replaced float return with 0.0f for org/apache/commons/lang3/mutable/MutableFloat::getAndAdd,,,,,,,,,,KILLED,,,,,,,,,,,,
238|Replaced float addition with subtraction,,,,,,,,,,,KILLED,,,,,,,,,,,
239|replaced float return with 0.0f for org/apache/commons/lang3/mutable/MutableFloat::getAndAdd,,,,,,,,,,,KILLED,,,,,,,,,,,
251|Replaced float subtraction with addition,,,,,,,,,,,,KILLED,,,,,,,,,,
252|replaced float return with 0.0f for org/apache/commons/lang3/mutable/MutableFloat::getAndDecrement,,,,,,,,,,,,KILLED,,,,,,,,,,
264|Replaced float addition with subtraction,,,,,,,,,,,,,KILLED,,,,,,,,,
265|replaced float return with 0.0f for org/apache/commons/lang3/mutable/MutableFloat::getAndIncrement,,,,,,,,,,,,,KILLED,,,,,,,,,
275|replaced Float return value with 0 for org/apache/commons/lang3/mutable/MutableFloat::getValue,,,,,,,,,,,,,,KILLED,,,,,,,,
285|replaced int return with 0 for org/apache/commons/lang3/mutable/MutableFloat::hashCode,,,,,,,,,,,,,,,KILLED,,,,,,,
294|Replaced float addition with subtraction,,,,,,,,,,,,,,,,KILLED,,,,,,
305|Replaced float addition with subtraction,,,,,,,,,,,,,,,,,KILLED,,,,,
306|replaced float return with 0.0f for org/apache/commons/lang3/mutable/MutableFloat::incrementAndGet,,,,,,,,,,,,,,,,,KILLED,,,,,
317|replaced int return with 0 for org/apache/commons/lang3/mutable/MutableFloat::intValue,,,,,,,,,,,,,,,,KILLED,,,,,,
326|replaced boolean return with false for org/apache/commons/lang3/mutable/MutableFloat::isInfinite,,,,,,,,,,,,,,,,,,KILLED,,,,
335|replaced boolean return with false for org/apache/commons/lang3/mutable/MutableFloat::isNaN,,,,,,,,,,,,,,,,,,KILLED,,,,
345|replaced long return with 0 for org/apache/commons/lang3/mutable/MutableFloat::longValue,,,,,,,,,,,,,,,,KILLED,,,,,,
375|Replaced float subtraction with addition,,,,,,,,,,,,,,,,,,,KILLED,,,
386|Replaced float subtraction with addition,,,,,,,,,,,,,,,,,,,,KILLED,,
395|replaced Float return value with 0 for org/apache/commons/lang3/mutable/MutableFloat::toFloat,,,,,,,,,,,,,,,,,,,,,KILLED,
"405|replaced return value with """" for org/apache/commons/lang3/mutable/MutableFloat::toString",,,,,,,,,,,,,,,,,,,,,,KILLED
